['time stamp', 'Stock Symbol', 'sentiment ratio', 'stock price (current)']
['2018-09-12 09:27:45', 'AMD', 53, 29.9]
['2018-09-12 09:28:46', 'AMD', 56, 29.9]
['2018-09-12 09:29:47', 'AMD', 53, 29.9]
['2018-09-12 09:30:47', 'AMD', 30, 29.92]
['2018-09-12 09:31:48', 'AMD', 13, 29.9]
['2018-09-12 09:32:49', 'AMD', 33, 30.05]
['2018-09-12 09:33:50', 'AMD', 43, 30.05]
['2018-09-12 09:34:50', 'AMD', 53, 30.05]
['2018-09-12 09:35:51', 'AMD', 66, 29.86]
['2018-09-12 09:36:52', 'AMD', 66, 30.015]
['2018-09-12 09:37:53', 'AMD', 56, 30.09]
['2018-09-12 09:38:54', 'AMD', 53, 29.98]
['2018-09-12 09:39:54', 'AMD', 40, 30.01]
['2018-09-12 09:40:55', 'AMD', 46, 29.83]
['2018-09-12 09:41:56', 'AMD', 40, 29.88]
['2018-09-12 09:42:57', 'AMD', 36, 30]
['2018-09-12 09:43:58', 'AMD', 43, 30]
['2018-09-12 09:44:59', 'AMD', 43, 29.92]
['2018-09-12 09:46:02', 'AMD', 46, 29.83]
['2018-09-12 09:47:03', 'AMD', 40, 29.82]
['2018-09-12 09:48:04', 'AMD', 33, 29.68]
['2018-09-12 09:49:05', 'AMD', 10, 29.74]
['2018-09-12 09:50:06', 'AMD', 10, 29.83]
['2018-09-12 09:51:06', 'AMD', 43, 29.83]
['2018-09-12 09:52:07', 'AMD', 40, 29.805]
['2018-09-12 09:53:08', 'AMD', 40, 29.695]
['2018-09-12 09:54:09', 'AMD', 30, 29.6]
['2018-09-12 09:55:10', 'AMD', 23, 29.68]
['2018-09-12 09:56:11', 'AMD', 23, 29.62]
['2018-09-12 09:57:11', 'AMD', 30, 29.69]
['2018-09-12 09:58:12', 'AMD', 43, 29.7]
['2018-09-12 09:59:13', 'AMD', 50, 29.47]
['2018-09-12 10:00:14', 'AMD', 36, 29.61]
['2018-09-12 10:01:15', 'AMD', 30, 29.7]
['2018-09-12 10:02:15', 'AMD', 40, 29.77]
['2018-09-12 10:03:16', 'AMD', 46, 29.71]
['2018-09-12 10:04:17', 'AMD', 36, 29.65]
['2018-09-12 10:05:18', 'AMD', 23, 29.7]
['2018-09-12 10:06:18', 'AMD', 33, 29.74]
['2018-09-12 10:07:19', 'AMD', 40, 29.75]
['2018-09-12 10:08:20', 'AMD', 46, 29.73]
['2018-09-12 10:09:21', 'AMD', 66, 29.78]
['2018-09-12 10:10:22', 'AMD', 66, 29.71]
['2018-09-12 10:11:23', 'AMD', 60, 29.7]
['2018-09-12 10:12:23', 'AMD', 56, 29.83]
['2018-09-12 10:13:24', 'AMD', 50, 29.86]
['2018-09-12 10:14:25', 'AMD', 53, 29.84]
['2018-09-12 10:15:26', 'AMD', 40, 29.785]
['2018-09-12 10:16:27', 'AMD', 40, 29.76]
['2018-09-12 10:17:27', 'AMD', 40, 29.74]
['2018-09-12 10:18:28', 'AMD', 36, 29.82]
['2018-09-12 10:19:29', 'AMD', 43, 29.86]
['2018-09-12 10:20:30', 'AMD', 43, 29.76]
['2018-09-12 10:21:31', 'AMD', 53, 29.76]
['2018-09-12 10:22:32', 'AMD', 56, 29.73]
['2018-09-12 10:23:32', 'AMD', 43, 29.68]
['2018-09-12 10:24:33', 'AMD', 43, 29.635]
['2018-09-12 10:25:34', 'AMD', 26, 29.61]
['2018-09-12 10:26:35', 'AMD', 26, 29.57]
['2018-09-12 10:27:35', 'AMD', 20, 29.66]
['2018-09-12 10:28:36', 'AMD', 16, 29.69]
['2018-09-12 10:29:37', 'AMD', 6, 29.71]
['2018-09-12 10:30:38', 'AMD', 10, 29.73]
['2018-09-12 10:31:38', 'AMD', 23, 29.68]
['2018-09-12 10:32:39', 'AMD', 26, 29.72]
['2018-09-12 10:33:40', 'AMD', 33, 29.75]
['2018-09-12 10:34:41', 'AMD', 43, 29.72]
['2018-09-12 10:35:42', 'AMD', 40, 29.69]
['2018-09-12 10:36:43', 'AMD', 43, 29.66]
['2018-09-12 10:37:43', 'AMD', 40, 29.62]
['2018-09-12 10:38:44', 'AMD', 43, 29.66]
['2018-09-12 10:39:45', 'AMD', 26, 29.755]
['2018-09-12 10:40:46', 'AMD', 30, 29.78]
['2018-09-12 10:41:47', 'AMD', 40, 29.79]
['2018-09-12 10:42:47', 'AMD', 40, 29.84]
['2018-09-12 10:43:48', 'AMD', 33, 29.965]
['2018-09-12 10:44:49', 'AMD', 43, 30.02]
['2018-09-12 10:45:50', 'AMD', 50, 30.05]
['2018-09-12 10:46:51', 'AMD', 43, 30.08]
['2018-09-12 10:47:52', 'AMD', 43, 30.16]
['2018-09-12 10:48:53', 'AMD', 46, 30.09]
['2018-09-12 10:49:53', 'AMD', 53, 30.04]
['2018-09-12 10:50:54', 'AMD', 70, 30.17]
['2018-09-12 10:51:55', 'AMD', 70, 30.25]
['2018-09-12 10:52:56', 'AMD', 63, 30.21]
['2018-09-12 10:53:57', 'AMD', 66, 30.26]
['2018-09-12 10:54:58', 'AMD', 63, 30.315]
['2018-09-12 10:55:58', 'AMD', 73, 30.36]
['2018-09-12 10:56:59', 'AMD', 66, 30.355]
['2018-09-12 10:58:00', 'AMD', 63, 30.405]
['2018-09-12 10:59:01', 'AMD', 63, 30.375]
['2018-09-12 11:00:02', 'AMD', 56, 30.325]
['2018-09-12 11:01:03', 'AMD', 30, 30.45]
['2018-09-12 11:02:03', 'AMD', 36, 30.47]
['2018-09-12 11:03:04', 'AMD', 63, 30.42]
['2018-09-12 11:04:05', 'AMD', 70, 30.5]
['2018-09-12 11:05:06', 'AMD', 53, 30.46]
['2018-09-12 11:06:07', 'AMD', 53, 30.375]
['2018-09-12 11:07:07', 'AMD', 36, 30.31]
['2018-09-12 11:08:08', 'AMD', 26, 30.315]
['2018-09-12 11:09:09', 'AMD', 20, 30.23]
['2018-09-12 11:10:10', 'AMD', 6, 30.34]
['2018-09-12 11:11:10', 'AMD', 16, 30.32]
['2018-09-12 11:12:11', 'AMD', 30, 30.27]
['2018-09-12 11:13:12', 'AMD', 30, 30.39]
['2018-09-12 11:14:13', 'AMD', 46, 30.45]
['2018-09-12 11:15:14', 'AMD', 66, 30.45]
['2018-09-12 11:16:14', 'AMD', 63, 30.47]
['2018-09-12 11:17:15', 'AMD', 70, 30.44]
['2018-09-12 11:18:16', 'AMD', 63, 30.475]
['2018-09-12 11:19:17', 'AMD', 56, 30.38]
['2018-09-12 11:20:18', 'AMD', 70, 30.36]
['2018-09-12 11:21:18', 'AMD', 53, 30.365]
['2018-09-12 11:22:19', 'AMD', 46, 30.38]
